id,tag,building\.id,building\.name
1567330,M-48,213240,Atkinson Middle School (AMS)
1567331,M-49,213240,Atkinson Middle School (AMS)
1567332,M-50,213240,Atkinson Middle School (AMS)
1567333,M-51,213240,Atkinson Middle School (AMS)
1567334,M-52,213240,Atkinson Middle School (AMS)
1567335,M-53,213240,Atkinson Middle School (AMS)
1567336,M-54,213240,Atkinson Middle School (AMS)
1567337,M-55,213240,Atkinson Middle School (AMS)
1567338,M-56,213240,Atkinson Middle School (AMS)
1567339,M-57,213240,Atkinson Middle School (AMS)
1567340,M-58,213240,Atkinson Middle School (AMS)
1567341,M-59,213240,Atkinson Middle School (AMS)
1567342,M-60,213240,Atkinson Middle School (AMS)
1567343,M-61,213240,Atkinson Middle School (AMS)
1567344,M-62,213240,Atkinson Middle School (AMS)
1567345,M-63,213240,Atkinson Middle School (AMS)
1567346,M-64,213240,Atkinson Middle School (AMS)
1567347,M-65,213240,Atkinson Middle School (AMS)
1567348,M-66,213240,Atkinson Middle School (AMS)
1567349,M-67,213240,Atkinson Middle School (AMS)
1567350,M-68,213240,Atkinson Middle School (AMS)
1567351,M-69,213240,Atkinson Middle School (AMS)
1567352,M-70,213240,Atkinson Middle School (AMS)
1567353,M-71,213240,Atkinson Middle School (AMS)
1567354,M-72,213240,Atkinson Middle School (AMS)
1567355,M-73,213240,Atkinson Middle School (AMS)
1567356,M-74,213240,Atkinson Middle School (AMS)
1567357,M-75,213240,Atkinson Middle School (AMS)
1567358,M-76,213240,Atkinson Middle School (AMS)
1567359,M-77,213240,Atkinson Middle School (AMS)
1567360,M-78,213240,Atkinson Middle School (AMS)
1567361,M-79,213240,Atkinson Middle School (AMS)
1567362,M-80,213240,Atkinson Middle School (AMS)
1567363,M-81,213240,Atkinson Middle School (AMS)
1567364,M-82,213240,Atkinson Middle School (AMS)
1567365,M-83,213240,Atkinson Middle School (AMS)
1567366,M-84,213240,Atkinson Middle School (AMS)
1567367,M-85,213240,Atkinson Middle School (AMS)
1567368,M-86,213240,Atkinson Middle School (AMS)
1567369,M-87,213240,Atkinson Middle School (AMS)
1567370,M-88,213240,Atkinson Middle School (AMS)
1567371,M-89,213240,Atkinson Middle School (AMS)
1567372,M-90,213240,Atkinson Middle School (AMS)
1567373,M-91,213240,Atkinson Middle School (AMS)
1567374,M-92,213240,Atkinson Middle School (AMS)
1567375,M-93,213240,Atkinson Middle School (AMS)
1567376,M-94,213240,Atkinson Middle School (AMS)
1567377,M-95,213240,Atkinson Middle School (AMS)
1567378,M-96,213240,Atkinson Middle School (AMS)
1567379,M-97,213240,Atkinson Middle School (AMS)
1567380,M-98,213240,Atkinson Middle School (AMS)
1567381,M-99,213240,Atkinson Middle School (AMS)
1567382,M-100,213240,Atkinson Middle School (AMS)
1567383,M-101,213240,Atkinson Middle School (AMS)
1567384,M-102,213240,Atkinson Middle School (AMS)
1567385,M-103,213240,Atkinson Middle School (AMS)
1567386,M-104,213240,Atkinson Middle School (AMS)
1567387,M-105,213240,Atkinson Middle School (AMS)
1567388,M-106,213240,Atkinson Middle School (AMS)
1567389,M-107,213240,Atkinson Middle School (AMS)
1567390,M-108,213240,Atkinson Middle School (AMS)
1567391,M-109,213240,Atkinson Middle School (AMS)
1567392,M-110,213240,Atkinson Middle School (AMS)
1567393,M-111,213240,Atkinson Middle School (AMS)
1567394,M-112,213240,Atkinson Middle School (AMS)
1567395,M-113,213240,Atkinson Middle School (AMS)
1567396,M-114,213240,Atkinson Middle School (AMS)
1567397,M-115,213240,Atkinson Middle School (AMS)
1567398,M-116,213240,Atkinson Middle School (AMS)
1567399,M-117,213240,Atkinson Middle School (AMS)
1567400,M-118,213240,Atkinson Middle School (AMS)
1567401,M-119,213240,Atkinson Middle School (AMS)
1567402,M-120,213240,Atkinson Middle School (AMS)
1567403,M-121,213240,Atkinson Middle School (AMS)
1567404,M-122,213240,Atkinson Middle School (AMS)
1567405,M-123,213240,Atkinson Middle School (AMS)
1567406,M-124,213240,Atkinson Middle School (AMS)
1567407,M-125,213240,Atkinson Middle School (AMS)
1567408,M-126,213240,Atkinson Middle School (AMS)
1567409,M-127,213240,Atkinson Middle School (AMS)
1567410,M-128,213240,Atkinson Middle School (AMS)
1567411,M-129,213240,Atkinson Middle School (AMS)
1567412,M-130,213240,Atkinson Middle School (AMS)
1567413,M-131,213240,Atkinson Middle School (AMS)
1567414,M-132,213240,Atkinson Middle School (AMS)
1567415,M-133,213240,Atkinson Middle School (AMS)
1567416,M-134,213240,Atkinson Middle School (AMS)
1567417,M-135,213240,Atkinson Middle School (AMS)
1567418,M-136,213240,Atkinson Middle School (AMS)
1567419,M-137,213240,Atkinson Middle School (AMS)
1567420,M-138,213240,Atkinson Middle School (AMS)
1567421,M-139,213240,Atkinson Middle School (AMS)
1567422,M-140,213240,Atkinson Middle School (AMS)
1567423,M-141,213240,Atkinson Middle School (AMS)
1567424,M-142,213240,Atkinson Middle School (AMS)
1567425,M-143,213240,Atkinson Middle School (AMS)
1567426,M-144,213240,Atkinson Middle School (AMS)
1567427,M-145,213240,Atkinson Middle School (AMS)
1567428,M-146,213240,Atkinson Middle School (AMS)
1567429,M-147,213240,Atkinson Middle School (AMS)
1567430,M-148,213240,Atkinson Middle School (AMS)
1567431,M-149,213240,Atkinson Middle School (AMS)
1567432,M-150,213240,Atkinson Middle School (AMS)
1567433,M-151,213240,Atkinson Middle School (AMS)
1567434,M-152,213240,Atkinson Middle School (AMS)
1567435,M-153,213240,Atkinson Middle School (AMS)
1567436,M-154,213240,Atkinson Middle School (AMS)
1567437,M-155,213240,Atkinson Middle School (AMS)
1567438,M-156,213240,Atkinson Middle School (AMS)
1567439,M-157,213240,Atkinson Middle School (AMS)
1567440,M-158,213240,Atkinson Middle School (AMS)
1567441,M-159,213240,Atkinson Middle School (AMS)
1567442,M-160,213240,Atkinson Middle School (AMS)
1567443,M-161,213240,Atkinson Middle School (AMS)
1567444,M-162,213240,Atkinson Middle School (AMS)
1567445,M-163,213240,Atkinson Middle School (AMS)
1567446,M-164,213240,Atkinson Middle School (AMS)
1567447,M-165,213240,Atkinson Middle School (AMS)
1567448,M-166,213240,Atkinson Middle School (AMS)
1567449,M-167,213240,Atkinson Middle School (AMS)
1567450,M-168,213240,Atkinson Middle School (AMS)
1567451,M-169,213240,Atkinson Middle School (AMS)
1567452,M-170,213240,Atkinson Middle School (AMS)
1567453,M-171,213240,Atkinson Middle School (AMS)
1567454,M-172,213240,Atkinson Middle School (AMS)
1567455,M-173,213240,Atkinson Middle School (AMS)
1567456,M-174,213240,Atkinson Middle School (AMS)
1567457,M-175,213240,Atkinson Middle School (AMS)
1567458,M-176,213240,Atkinson Middle School (AMS)
1567459,M-177,213240,Atkinson Middle School (AMS)
1567460,M-178,213240,Atkinson Middle School (AMS)
1567461,M-179,213240,Atkinson Middle School (AMS)
1567462,M-180,213240,Atkinson Middle School (AMS)
1567463,M-181,213240,Atkinson Middle School (AMS)
1567464,M-182,213240,Atkinson Middle School (AMS)
1567465,M-183,213240,Atkinson Middle School (AMS)
1567466,M-184,213240,Atkinson Middle School (AMS)
1567467,M-185,213240,Atkinson Middle School (AMS)
1567468,M-186,213240,Atkinson Middle School (AMS)
1567469,M-187,213240,Atkinson Middle School (AMS)
1567470,M-188,213240,Atkinson Middle School (AMS)
1567471,M-189,213240,Atkinson Middle School (AMS)
1567472,M-190,213240,Atkinson Middle School (AMS)
1567473,M-191,213240,Atkinson Middle School (AMS)
1567474,M-192,213240,Atkinson Middle School (AMS)
1567475,M-193,213240,Atkinson Middle School (AMS)
1567476,M-194,213240,Atkinson Middle School (AMS)
